,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department_IT,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_high,salary_low,salary_medium,left
6723,0.65,0.96,0.7142857142857143,0.7290322580645161,0.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6473,0.88,0.8,0.42857142857142855,0.535483870967742,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4679,0.69,0.98,0.42857142857142855,0.6903225806451613,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
862,0.41,0.47,0.2857142857142857,0.4967741935483871,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
7286,0.87,0.76,0.7142857142857143,0.8193548387096774,0.2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8127,0.72,0.88,0.42857142857142855,0.7225806451612903,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3017,0.98,0.78,0.5714285714285714,0.5,0.3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3087,0.17,0.76,0.5714285714285714,0.9032258064516129,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6425,0.2,0.98,0.5714285714285714,0.535483870967742,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2250,0.16,0.9,0.7142857142857143,0.832258064516129,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
542,0.77,0.91,0.7142857142857143,0.7612903225806451,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
9293,0.67,0.71,0.5714285714285714,0.5129032258064516,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11723,0.54,0.78,0.42857142857142855,0.5032258064516129,0.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4923,0.77,0.88,0.2857142857142857,0.5451612903225806,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12070,0.74,0.99,0.2857142857142857,0.8935483870967742,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
10602,0.59,0.74,0.42857142857142855,0.7741935483870968,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11874,0.73,0.9,0.42857142857142855,0.8838709677419355,0.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11118,0.49,1.0,0.2857142857142857,0.4032258064516129,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10778,0.92,0.98,0.42857142857142855,0.8290322580645161,0.3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8054,0.76,0.49,0.7142857142857143,0.7838709677419354,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2312,0.51,0.64,0.42857142857142855,0.8612903225806452,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
14768,0.43,0.57,0.2857142857142857,0.5064516129032258,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1889,0.11,0.95,0.8571428571428571,0.9,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
8990,0.75,0.92,0.42857142857142855,0.6419354838709678,0.3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
169,0.45,0.57,0.2857142857142857,0.5096774193548387,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1795,0.85,0.96,0.5714285714285714,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
14303,0.42,0.48,0.2857142857142857,0.4612903225806452,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
3919,0.64,0.95,0.5714285714285714,0.6419354838709678,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14018,0.65,0.95,0.2857142857142857,0.5806451612903226,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3728,0.21,0.37,0.5714285714285714,0.4161290322580645,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1039,0.82,1.0,0.5714285714285714,0.8806451612903226,0.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2848,0.53,0.92,0.42857142857142855,0.667741935483871,0.4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7864,0.8,0.54,0.42857142857142855,0.7161290322580646,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12036,0.38,0.46,0.2857142857142857,0.44193548387096776,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
10411,0.61,0.81,0.7142857142857143,0.43870967741935485,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8796,0.96,0.9,0.5714285714285714,0.6483870967741936,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
764,0.83,0.99,0.5714285714285714,0.7193548387096774,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1593,0.1,0.87,0.8571428571428571,0.9903225806451613,0.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
9214,0.94,0.78,0.5714285714285714,0.6806451612903226,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7113,0.88,0.82,0.42857142857142855,0.7870967741935484,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10360,0.12,0.7,0.7142857142857143,0.8935483870967742,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5145,0.63,0.92,0.2857142857142857,0.6387096774193548,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10908,0.47,0.46,0.2857142857142857,0.49032258064516127,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11488,0.7,0.53,0.42857142857142855,0.6935483870967742,0.7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9881,0.27,0.64,0.2857142857142857,0.6064516129032258,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8473,0.71,0.97,0.42857142857142855,0.5580645161290323,0.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
149,0.39,0.5,0.2857142857142857,0.47419354838709676,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
13591,0.24,0.62,0.8571428571428571,0.7258064516129032,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
387,0.1,0.97,0.8571428571428571,0.7967741935483871,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
12374,0.86,0.84,0.7142857142857143,0.8193548387096774,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
4514,0.77,0.77,0.42857142857142855,0.7064516129032258,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1373,0.37,0.53,0.2857142857142857,0.47419354838709676,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2884,0.75,0.78,0.2857142857142857,0.8096774193548387,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
11400,0.15,0.75,0.42857142857142855,0.4838709677419355,0.4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5125,0.98,0.99,0.42857142857142855,0.8161290322580645,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2991,0.9,0.77,0.42857142857142855,0.5032258064516129,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5549,0.81,0.53,0.5714285714285714,0.7806451612903226,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10530,0.82,0.9,0.5714285714285714,0.7483870967741936,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14866,0.77,1.0,0.5714285714285714,0.7483870967741936,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3461,0.77,0.65,0.5714285714285714,0.5290322580645161,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3024,0.41,0.96,0.8571428571428571,0.5516129032258065,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
251,0.79,0.92,0.7142857142857143,0.8193548387096774,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
13351,0.55,0.68,0.42857142857142855,0.5741935483870968,0.3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
12858,0.58,0.69,0.5714285714285714,0.532258064516129,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8500,1.0,0.68,0.42857142857142855,0.4258064516129032,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
932,0.42,0.52,0.2857142857142857,0.4870967741935484,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
10024,0.85,0.56,0.42857142857142855,0.6419354838709678,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
