,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department_IT,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_high,salary_low,salary_medium,left
5499,0.84,0.49,0.7142857142857143,0.6096774193548387,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7536,0.51,0.93,0.42857142857142855,0.5225806451612903,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
7701,0.8,0.87,0.5714285714285714,0.6741935483870968,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6265,0.99,0.55,0.5714285714285714,0.5774193548387097,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1124,0.43,0.52,0.2857142857142857,0.45483870967741935,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
12450,0.81,0.9,0.5714285714285714,0.7290322580645161,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
6993,0.5,0.88,0.5714285714285714,0.5548387096774193,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1105,0.37,0.49,0.2857142857142857,0.41935483870967744,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
10325,0.99,0.89,0.5714285714285714,0.8193548387096774,0.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9339,0.96,0.76,0.5714285714285714,0.49032258064516127,0.3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5691,0.74,0.75,0.5714285714285714,0.4806451612903226,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1968,0.84,0.91,0.7142857142857143,0.7483870967741936,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
8966,0.51,0.91,0.5714285714285714,0.6258064516129033,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10823,0.7,0.87,0.42857142857142855,0.535483870967742,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12207,0.78,0.87,0.5714285714285714,0.7354838709677419,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4565,0.57,0.9,0.42857142857142855,0.4645161290322581,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1274,0.45,0.53,0.2857142857142857,0.42258064516129035,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
9358,0.75,0.49,0.5714285714285714,0.7935483870967742,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8811,0.88,0.75,0.7142857142857143,0.49032258064516127,0.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
345,0.1,0.86,0.8571428571428571,0.896774193548387,0.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
8806,0.31,1.0,0.5714285714285714,0.5709677419354838,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8120,0.76,0.85,0.5714285714285714,0.43548387096774194,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
6568,0.63,0.98,0.5714285714285714,0.7354838709677419,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11917,0.92,0.85,0.42857142857142855,0.4870967741935484,0.6,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12972,0.95,0.9,0.42857142857142855,0.6,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4482,0.51,0.67,0.5714285714285714,0.7354838709677419,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13963,0.78,0.57,0.42857142857142855,0.6741935483870968,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
9439,0.54,0.71,0.2857142857142857,0.6258064516129033,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10145,0.51,0.74,0.5714285714285714,0.4870967741935484,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1609,0.85,1.0,0.8571428571428571,0.8387096774193549,0.3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
4964,0.64,0.71,0.42857142857142855,0.7451612903225806,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2630,0.81,0.99,0.42857142857142855,0.7709677419354839,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
14749,0.87,1.0,0.7142857142857143,0.8419354838709677,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
8043,0.49,0.42,0.2857142857142857,0.8580645161290322,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4758,0.95,0.56,0.7142857142857143,0.6258064516129033,0.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
236,0.4,0.53,0.2857142857142857,0.4870967741935484,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
