,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,department_IT,department_RandD,department_accounting,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_high,salary_low,salary_medium,left
14492,0.27,0.56,0.42857142857142855,0.9709677419354839,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4260,0.68,0.61,0.7142857142857143,0.8741935483870967,0.2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3521,0.79,0.67,0.5714285714285714,0.8612903225806452,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6708,0.79,0.97,0.8571428571428571,0.36451612903225805,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2247,0.78,0.8,0.5714285714285714,0.6258064516129033,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9424,0.93,0.52,0.42857142857142855,0.5838709677419355,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5940,0.7,0.99,0.5714285714285714,0.8,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2594,0.99,0.72,0.42857142857142855,0.38387096774193546,0.2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14257,0.4,0.55,0.2857142857142857,0.47419354838709676,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
4107,0.55,0.8,0.42857142857142855,0.8193548387096774,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3556,0.75,0.66,0.5714285714285714,0.6516129032258065,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3659,0.35,0.7,0.42857142857142855,0.34516129032258064,0.3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10097,0.15,0.67,0.8571428571428571,0.5387096774193548,0.6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
193,0.09,0.82,0.8571428571428571,0.8032258064516129,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
6410,0.85,0.5,0.42857142857142855,0.5419354838709678,0.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7776,0.83,0.9,0.42857142857142855,0.5774193548387097,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13962,0.99,0.92,0.5714285714285714,0.8548387096774194,0.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
14440,0.78,0.98,0.7142857142857143,0.7709677419354839,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2427,0.81,0.92,0.7142857142857143,0.8354838709677419,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5755,0.44,0.92,0.8571428571428571,0.864516129032258,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13910,0.5,0.83,0.7142857142857143,0.832258064516129,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11829,0.64,0.67,0.5714285714285714,0.8129032258064516,0.3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1638,0.42,0.55,0.2857142857142857,0.47096774193548385,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
13721,0.47,0.43,0.5714285714285714,0.7935483870967742,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12696,0.1,0.81,1.0,0.9387096774193548,0.4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
6638,0.78,0.76,0.42857142857142855,0.7677419354838709,0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2541,0.83,0.93,0.7142857142857143,0.7774193548387097,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7817,0.51,0.53,0.42857142857142855,0.7645161290322581,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4895,0.68,0.61,0.42857142857142855,0.8419354838709677,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
11347,0.69,0.72,0.5714285714285714,0.5967741935483871,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
9938,0.95,0.94,0.42857142857142855,0.5612903225806452,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4855,0.92,0.62,0.5714285714285714,0.632258064516129,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5832,0.7,0.79,0.8571428571428571,0.46774193548387094,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
10574,0.97,0.78,0.42857142857142855,0.864516129032258,0.3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
874,0.14,0.73,1.0,0.9096774193548387,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
10660,0.83,0.74,0.5714285714285714,0.8032258064516129,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10009,0.71,0.72,0.5714285714285714,0.44193548387096776,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
12144,0.84,0.99,0.5714285714285714,0.8612903225806452,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
7323,0.36,0.4,0.2857142857142857,0.3387096774193548,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4621,0.34,0.41,0.2857142857142857,0.45483870967741935,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14469,0.88,0.88,0.7142857142857143,0.7483870967741936,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
12606,0.38,0.56,0.2857142857142857,0.5193548387096775,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2646,0.78,0.89,0.42857142857142855,0.8161290322580645,0.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11637,0.94,0.64,0.7142857142857143,0.7967741935483871,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14966,0.83,0.81,0.7142857142857143,0.7064516129032258,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
974,0.1,0.81,0.8571428571428571,0.9806451612903225,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
8911,0.63,0.96,0.5714285714285714,0.4290322580645161,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
4988,0.5,0.7,0.7142857142857143,0.535483870967742,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3861,0.79,0.83,0.2857142857142857,0.6193548387096774,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13245,0.83,0.52,0.2857142857142857,0.4806451612903226,0.2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9998,0.62,0.64,0.5714285714285714,0.5967741935483871,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14628,0.11,0.9,0.8571428571428571,0.8516129032258064,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4818,0.5,0.43,0.42857142857142855,0.5935483870967742,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7999,0.85,0.55,0.42857142857142855,0.7290322580645161,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9491,0.45,0.42,0.5714285714285714,0.45161290322580644,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9009,0.86,0.85,0.2857142857142857,0.6290322580645161,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8155,0.75,0.81,0.42857142857142855,0.6903225806451613,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3258,0.48,0.61,0.42857142857142855,0.7193548387096774,0.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14470,0.11,0.84,0.8571428571428571,0.9258064516129032,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
7368,0.73,0.91,0.5714285714285714,0.8,0.2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14476,0.84,0.93,0.5714285714285714,0.8096774193548387,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2038,0.51,0.8,0.42857142857142855,0.7032258064516129,0.2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2569,0.79,0.58,0.7142857142857143,0.532258064516129,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10381,0.34,0.82,0.8571428571428571,0.6516129032258065,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3812,0.63,0.62,0.42857142857142855,0.5903225806451613,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5984,0.96,0.59,0.42857142857142855,0.5096774193548387,0.3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11845,0.63,0.7,0.7142857142857143,0.5161290322580645,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2639,0.77,0.75,0.5714285714285714,0.7193548387096774,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8143,0.96,0.51,0.7142857142857143,0.49032258064516127,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2561,0.78,0.84,0.42857142857142855,0.867741935483871,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6782,0.66,0.85,0.7142857142857143,0.8741935483870967,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6983,0.79,0.74,0.42857142857142855,0.7677419354838709,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
13729,0.63,0.93,0.5714285714285714,0.7516129032258064,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3840,0.71,0.56,0.42857142857142855,0.6387096774193548,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3112,0.25,0.83,0.42857142857142855,0.8290322580645161,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
